Time,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Random Option, Black Dog L,Ghirardelli L,Radio Transmitter L,Picasso Painting L,Haldiram's L,Signed Bat L, Black Dog M,Ghirardelli M,Radio Transmitter M,Picasso Painting M,Haldiram's M,Signed Bat M, Black Dog H,Ghirardelli H,Radio Transmitter H,Picasso Painting H,Haldiram's H,Signed Bat H
23/11/2023 13:58:32,0.05,5 minutes,47,9,2,1,78,4,no,vkna,Option 2,,,,,,,,,,,,,3500,50,900,1200,200,12000
23/11/2023 13:58:42,$0.05,5 minutes,47,9,2,half hour,78,4 days,TRUE,vkna,Option 2,,,,,,,,,,,,,3500,1400,1000,1200,150,10000
23/11/2023 14:03:31,$0.05,5 minutes,47 days,9,2 apples,1 hour,78,4 days,Yes,vkna,Option 1,5000,1500,1000,2000,200,50000,,,,,,,,,,,,
23/11/2023 14:08:30,0.1,5,47,9,2,1.5 hours,78,4,Yes,vlna,Option 1,2100,600,500,600,100,8000,,,,,,,,,,,,
23/11/2023 14:22:50,$0.05,5 minutes,47 days,9,Two,1 hour,78,4 days,No,vkna,Option 2,,,,,,,,,,,,,3500,1400,1000,1500,100,15000
23/11/2023 14:32:46,0.05,5 minutes,47,9,2,Half an hour,78,4 days,Yes,vkna,Option 2,,,,,,,,,,,,,3200,1250,750,1100,150,12000
24/11/2023 07:47:26,0.05,5,47,9,2,1.5 hours,78,4,No,vkna,Option 1,2500,600,400,700,100,8000,,,,,,,,,,,,
24/11/2023 08:21:25,0.1,5 minutes,47,9,2,0.5 hr,78,4,FALSE,vkmq,Option 3,,,,,,,3200,900,750,900,150,9000,,,,,,
24/11/2023 10:45:17,0.05,5,47,9,2,1 hour,78,5,Yes,vkna,Option 3,,,,,,,3100,1100,800,750,180,11000,,,,,,
24/11/2023 11:18:52,0.05,5 minutes ,47,9,2,Half hour ,78,4,FALSE,vkma,Option 3,,,,,,,2700,869,690,769,169,6969,,,,,,
25/11/2023 13:06:47,0.05,5,47,9,2,1,78,4,not necessary,vkna,Option 2,,,,,,,,,,,,,3500,100,500,500,100,0
26/11/2023 06:29:34,$0.05,5 minutes,47 days,9,2,1 hour,78,4,TRUE,vkna,Option 1,2600,400,200,200,75,8000,,,,,,,,,,,,
26/11/2023 06:29:53,0.05,5 minutes,47 days,9,2,1 hour,78,4 days,Yes,vkna,Option 2,,,,,,,,,,,,,3800,1500,500,1500,225,20000
26/11/2023 06:30:19,0.05,5 minutes,47,9,2,1 hour,78,4,Yes,vjna,Option 2,,,,,,,,,,,,,3800,800,200,1000,100,10000
26/11/2023 06:31:10,0.05,5 minutes,47 days,9,2,1 hour,78,4 days,Yes,vkna,Option 3,,,,,,,2700,1000,600,1000,175,8000,,,,,,
26/11/2023 06:32:29,$0.05,5,47,8,2,1hr,78,4,yes,upna,Option 2,,,,,,,,,,,,,3300,1300,1000,1000,175,10000
26/11/2023 06:33:48,0.05,5 minutes,47 days,Assuming you mean 9 die out of 17 then 17 - 9 = 8,2 cuz you just took em,1.5 hrs,78,9 days,Not necessarily,vkna,Option 2,,,,,,,,,,,,,3000,500,1000,1200,150,1000
26/11/2023 06:37:04,$0.05,5 minutes,47,9,2,1 hour,78,4 days,FALSE,vkma,Option 2,,,,,,,,,,,,,5000,1500,800,500,100,20000
26/11/2023 06:44:51,0.05,5,47,8,2,1,78,4,TRUE,vkna,Option 1,2300,500,500,500,125,8000,,,,,,,,,,,,
26/11/2023 06:46:56,1.05,5,47,9,2,1 hour,63,4,yes,vkna,Option 1,2000,300,500,800,60,6000,,,,,,,,,,,,
26/11/2023 06:50:56,0.05,5,47,9,2,No time,78,6,Not necessarily ,Ukna,Option 3,,,,,,,3300,1200,600,1000,125,10000,,,,,,
